1 38 158
1 39 70
1 69 70
1 71 35
1 73 123
1 74 112
2 8 112
2 51 118
2 59 156
2 60 135
2 77 167
2 80 127
3 18 100
3 23 134
3 36 154
3 42 177
3 58 57
3 63 104
3 71 136
4 5 89
4 6 149
4 26 206
4 83 169
4 84 172
5 4 89
5 26 160
5 38 107
5 73 165
6 4 149
6 83 156
7 26 41
7 30 133
7 38 134
7 42 144
7 43 91
7 48 137
7 84 123
8 2 112
8 51 104
8 55 144
9 11 82
9 31 88
9 66 139
10 21 179
10 51 83
10 52 105
10 77 124
10 89 74
11 9 82
11 31 94
11 34 152
11 66 115
11 81 106
12 15 92
12 30 227
12 34 173
12 46 112
12 48 107
12 81 76
12 82 130
13 30 122
13 83 67
13 84 103
14 27 141
14 50 62
14 61 108
14 76 128
15 12 92
15 19 80
15 43 163
15 46 137
15 48 151
15 63 156
16 17 136
16 24 82
16 79 115
16 86 115
16 87 103
17 16 136
17 24 221
17 33 183
17 79 63
17 85 76
18 3 100
18 23 125
18 36 82
18 41 115
18 45 117
18 58 68
19 15 80
19 23 153
19 24 109
19 46 131
19 63 141
19 87 89
21 10 179
21 39 97
21 52 107
21 58 180
21 70 108
21 71 126
21 89 150
22 29 143
22 35 101
22 56 118
23 3 134
23 18 125
23 19 153
23 36 85
23 63 128
23 87 82
24 16 82
24 17 221
24 19 109
24 33 137
24 46 130
24 47 134
24 87 99
25 39 85
25 70 49
25 90 95
26 4 206
26 5 160
26 7 41
26 30 153
26 38 92
26 84 129
27 14 141
27 28 81
27 60 101
27 61 114
27 76 54
27 78 86
27 95 85
28 27 81
28 41 105
28 45 77
28 61 120
28 72 130
28 78 78
28 91 84
29 22 143
29 56 120
30 7 133
30 12 227
30 13 122
30 26 153
30 34 57
30 48 141
30 84 45
31 9 88
31 11 94
31 32 80
31 65 151
31 81 76
31 82 54
32 31 80
32 40 111
32 47 71
32 64 104
32 65 73
32 82 87
33 17 183
33 24 137
33 40 128
33 47 139
34 11 152
34 12 173
34 30 57
34 81 217
35 22 101
35 44 109
35 49 128
35 50 146
35 53 74
35 56 116
36 3 154
36 18 82
36 23 85
36 37 121
36 41 101
36 86 117
36 87 122
37 36 121
37 41 59
37 49 115
37 72 102
37 86 105
38 1 158
38 5 107
38 7 134
38 26 92
38 42 144
38 69 115
38 73 59
39 1 70
